L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
150,0.6236,0.6264,0.6264,1.6156,6.0846,1.0364,0.9525,0.9425,0.9425,italian_dracor,kn,1958,96,w10
0,0.8137,0.8186,0.8187,5.3861,79.3582,2.288,0.5353,0.5334,0.5333,italian_dracor,kn,1958,1392,w20
1200,0.814,0.8197,0.8198,2.8075,39.4777,1.2883,0.6257,0.6259,0.6255,italian_dracor,kn,1958,354,w20
600,0.7964,0.8009,0.8009,1.811,16.0151,0.9185,0.7212,0.7203,0.7203,italian_dracor,kn,1958,201,w20
300,0.7339,0.7403,0.7403,1.5068,8.3448,0.9106,0.8546,0.8457,0.8457,italian_dracor,kn,1958,128,w20
150,0.6202,0.6215,0.6215,1.715,6.654,1.0654,0.9577,0.9497,0.9497,italian_dracor,kn,1958,95,w20
0,0.8135,0.8183,0.8184,5.3412,78.7028,2.271,0.5364,0.5338,0.5328,italian_dracor,kn,1958,1286,w30
1200,0.8176,0.8232,0.8233,2.7258,38.3243,1.253,0.6124,0.607,0.607,italian_dracor,kn,1958,336,w30
600,0.7928,0.7973,0.7973,1.8193,16.1333,0.9253,0.7309,0.7281,0.7281,italian_dracor,kn,1958,194,w30
300,0.7419,0.7478,0.7478,1.4507,8.0691,0.8921,0.8432,0.8351,0.8351,italian_dracor,kn,1958,122,w30
150,0.6324,0.6345,0.6345,1.6036,6.1,1.0297,0.9452,0.938,0.938,italian_dracor,kn,1958,90,w30
0,0.9645,0.9658,0.9658,0.6006,8.8727,0.3595,0.302,0.3002,0.2999,italian_poetree,kn,2000,1462,w10
1200,0.9282,0.9299,0.9299,0.8005,11.3269,0.5104,0.4456,0.442,0.4416,italian_poetree,kn,2000,379,w10
600,0.8717,0.8755,0.8755,1.0664,9.5047,0.6812,0.6187,0.606,0.606,italian_poetree,kn,2000,216,w10
300,0.7717,0.7758,0.7758,1.3879,8.444,0.8845,0.803,0.7917,0.7917,italian_poetree,kn,2000,135,w10
150,0.673,0.6757,0.6757,1.5551,6.5085,1.0111,0.9158,0.9098,0.9098,italian_poetree,kn,2000,96,w10
0,0.9646,0.9658,0.9658,0.6057,8.9701,0.3605,0.2952,0.2943,0.2942,italian_poetree,kn,2000,1340,w20
1200,0.9307,0.9322,0.9322,0.7799,10.9902,0.5015,0.4366,0.4351,0.4348,italian_poetree,kn,2000,353,w20
600,0.8734,0.8761,0.8761,1.0871,9.7554,0.6884,0.6101,0.6027,0.6027,italian_poetree,kn,2000,202,w20
300,0.7811,0.7842,0.7842,1.3424,8.1708,0.8674,0.7863,0.7773,0.7773,italian_poetree,kn,2000,114,w20
150,0.6745,0.6782,0.6782,1.5925,6.6748,1.0195,0.9159,0.9055,0.9055,italian_poetree,kn,2000,70,w20
0,0.9648,0.966,0.9659,0.5992,8.8982,0.3584,0.2976,0.2954,0.2944,italian_poetree,kn,2000,873,w30
1200,0.9333,0.9344,0.9344,0.7629,10.8269,0.4965,0.4287,0.4249,0.4248,italian_poetree,kn,2000,221,w30
