  russian_poetree          kn          sent L= 300  AUC 0.624  Cllr   21.113  sqrt 1.519  hapax 2.775  (111s)
  russian_poetree          kn          sent L= 150  AUC 0.558  Cllr   19.373  sqrt 1.869  hapax 3.419  (90s)
  slovenian_novels         kn          sent L=full  AUC 0.886  Cllr   39.956  sqrt 1.238  hapax 2.797  (1243s)
  slovenian_novels         kn          sent L=1200  AUC 0.806  Cllr   52.094  sqrt 1.658  hapax 3.832  (365s)
  slovenian_novels         kn          sent L= 600  AUC 0.745  Cllr   31.201  sqrt 1.490  hapax 3.425  (205s)
  slovenian_novels         kn          sent L= 300  AUC 0.652  Cllr   21.871  sqrt 1.547  hapax 3.462  (129s)
  slovenian_novels         kn          sent L= 150  AUC 0.592  Cllr   14.967  sqrt 1.549  hapax 3.329  (95s)
  slovenian_poetree        kn          sent L=full  AUC 0.897  Cllr   86.230  sqrt 2.555  hapax 4.869  (152s)
  slovenian_poetree        kn          sent L=1200  AUC 0.844  Cllr   42.995  sqrt 1.410  hapax 2.531  (58s)
  slovenian_poetree        kn          sent L= 600  AUC 0.804  Cllr   17.593  sqrt 0.968  hapax 1.636  (33s)
  slovenian_poetree        kn          sent L= 300  AUC 0.747  Cllr   15.565  sqrt 1.175  hapax 2.214  (23s)
  slovenian_poetree        kn          sent L= 150  AUC 0.725  Cllr   12.244  sqrt 1.255  hapax 2.456  (18s)
  spanish_novels           kn          sent L=full  AUC 0.936  Cllr   16.230  sqrt 0.622  hapax 1.202  (797s)
  spanish_novels           kn          sent L=1200  AUC 0.779  Cllr   47.290  sqrt 1.552  hapax 3.448  (267s)
  spanish_novels           kn          sent L= 600  AUC 0.703  Cllr   37.600  sqrt 1.741  hapax 3.920  (162s)
  spanish_novels           kn          sent L= 300  AUC 0.628  Cllr   29.555  sqrt 1.943  hapax 4.366  (115s)
  spanish_novels           kn          sent L= 150  AUC 0.574  Cllr   25.625  sqrt 2.300  hapax 5.207  (97s)
  german_novels            kn          sent L=full  AUC 0.908  Cllr   41.070  sqrt 1.325  hapax 2.924  (827s)
  german_novels            kn          sent L= 300  AUC 0.580  Cllr   48.088  sqrt 2.924  hapax 8.124  (113s)

2 runs -> D:\Moje dokumenty\Code\LambdaG\experiments\results_primary.csv
5  sqrt 1.656  hapax 3.060  (227s)
  swedish_novels           kn          sent L= 300  AUC 0.616  Cllr   25.393  sqrt 1.760  hapax 3.487  (140s)
  swedish_novels           kn          sent L= 150  AUC 0.527  Cllr   21.354  sqrt 2.043  hapax 4.302  (96s)
  swissgerman_novels       kn          sent L=full  AUC 0.930  Cllr   32.716  sqrt 1.087  hapax 2.453  (744s)
  swissgerman_novels       kn          sent L=1200  AUC 0.827  Cllr   29.914  sqrt 1.078  hapax 2.308  (256s)
  swissgerman_novels       kn          sent L= 600  AUC 0.700  Cllr   32.465  sqrt 1.572  hapax 3.821  (160s)
  swissgerman_novels       kn          sent L= 300  AUC 0.617  Cllr   32.310  sqrt 2.081  hapax 5.555  (105s)
  swissgerman_novels       kn          sent L= 150  AUC 0.581  Cllr   21.391  sqrt 1.976  hapax 5.283  (83s)
  ukrainian_novels         kn          sent L=full  AUC 0.956  Cllr   20.652  sqrt 0.635  hapax 1.212  (1118s)
  ukrainian_novels         kn          sent L=1200  AUC 0.924  Cllr   20.840  sqrt 0.734  hapax 1.318  (275s)
  ukrainian_novels         kn          sent L= 600  AUC 0.851  Cllr   18.184  sqrt 0.940  hapax 1.714  (159s)
  ukrainian_novels         kn          sent L= 300  AUC 0.758  Cllr   16.923  sqrt 1.230  hapax 2.421  (99s)
  ukrainian_novels         kn          sent L= 150  AUC 0.659  Cllr   13.616  sqrt 1.432  hapax 2.816  (70s)

excluded (10+ reference authors required): croatian_novels (5), greek_novels (2), russian_novels (8), spanish_poetree (8), swedish_dracor (8), ukrainian_dracor (5)

153 runs -> D:\Moje dokumenty\Code\LambdaG\experiments\results_primary.csv
  czech_novels             kn          sent L=full  AUC 0.954  Cllr   18.555  sqrt 0.592  hapax 1.503  (1611s)
  czech_novels             kn          sent L=1200  AUC 0.872  Cllr   29.176  sqrt 1.000  hapax 2.656  (413s)
  czech_novels             kn          sent L= 600  AUC 0.780  Cllr   22.838  sqrt 1.190  hapax 2.987  (227s)
  czech_novels             kn          sent L= 300  AUC 0.659  Cllr   16.902  sqrt 1.310  hapax 3.064  (140s)
  czech_novels             kn          sent L= 150  AUC 0.599  Cllr   10.556  sqrt 1.270  hapax 2.575  (103s)
  czech_poetree            kn          sent L=full  AUC 0.940  Cllr   14.362  sqrt 0.572  hapax 1.070  (1482s)
  czech_poetree            kn          sent L=1200  AUC 0.869  Cllr   23.736  sqrt 0.897  hapax 1.802  (423s)
  czech_poetree            kn          sent L= 600  AUC 0.808  Cllr   15.293  sqrt 0.919  hapax 1.725  (238s)
  czech_poetree            kn          sent L= 300  AUC 0.707  Cllr   12.161  sqrt 1.076  hapax 1.964  (143s)
  czech_poetree            kn          sent L= 150  AUC 0.639  Cllr    8.093  sqrt 1.106  hapax 1.806  (100s)
  czech_poetree            kn          sent L=full  AUC 0.940  Cllr   14.362  sqrt 0.572  hapax 1.070  (1482s)
  czech_poetree            kn          sent L=1200  AUC 0.869  Cllr   23.736  sqrt 0.897  hapax 1.802  (423s)
  czech_poetree            kn          sent L= 600  AUC 0.808  Cllr   15.293  sqrt 0.919  hapax 1.725  (238s)
  czech_poetree            kn          sent L= 300  AUC 0.707  Cllr   12.161  sqrt 1.076  hapax 1.964  (143s)
  czech_poetree            kn          sent L= 150  AUC 0.639  Cllr    8.093  sqrt 1.106  hapax 1.806  (100s)
  czech_poetree            kn          sent L=full  AUC 0.940  Cllr   14.362  sqrt 0.572  hapax 1.070  (1482s)
  czech_poetree            kn          sent L=1200  AUC 0.869  Cllr   23.736  sqrt 0.897  hapax 1.802  (423s)
